Characteristic,All injuries (n=115),Player-level first injury (n=88)
"Age at injury, mean ± SD (yr)",26.1 ± 4.7,25.3 ± 4.5
"Age, median (IQR)",25.0 (22.5–29.0),24.0 (22.0–28.0)
"Age, range",19.0–39.0,19.0–39.0
"Height, mean ± SD (in)",79.1 ± 3.4,79.5 ± 3.2
"Weight, mean ± SD (lb)",219.6 ± 28.4,222.4 ± 28.1
"BMI, mean ± SD (kg/m²)",24.6 ± 1.9,24.6 ± 2.0
"BMI ≥27, n (%)",11 (9.6%),9 (10.2%)
"Years of experience, median (IQR)",4.0 (1.5–8.0),3.0 (1.0–6.0)
"Years of experience, range",0.0–18.0,0.0–18.0
"Position: guard, n (%)",51 (44.3%),38 (43.2%)
"Position: wing, n (%)",19 (16.5%),15 (17.0%)
"Position: big, n (%)",45 (39.1%),35 (39.8%)
"Age stratum: <25, n (%)",52 (45.2%),45 (51.1%)
"Age stratum: 25–29, n (%)",40 (34.8%),30 (34.1%)
"Age stratum: ≥30, n (%)",23 (20.0%),13 (14.8%)

