Metric,n paired,Pre (mean ± SD),Pre median [IQR],Post (mean ± SD),Post median [IQR],Mean Δ (Post−Pre),95% CI for mean Δ,Test used,Statistic,Raw p-value,Holm-adjusted p,"Sig (Holm, α=0.05)"
Games played,87,57.51 ± 19.51,"61.00 [48.00, 72.50]",55.20 ± 22.92,"61.00 [42.00, 73.00]",-2.310,"[-8.228, 3.607]",t-paired,-0.776,0.4398,1,No
Games started,87,38.37 ± 28.16,"38.00 [9.00, 63.50]",36.55 ± 27.62,"36.00 [7.00, 62.50]",-1.816,"[-8.377, 4.745]",Wilcoxon,1564.500,0.9396,1,No
Minutes per game,87,26.18 ± 8.71,"28.80 [20.30, 32.05]",25.36 ± 8.58,"26.00 [20.20, 33.30]",-0.817,"[-2.560, 0.926]",Wilcoxon,1674.000,0.3097,1,No
Field-goal %,87,47.91 ± 7.86,"46.90 [43.90, 50.50]",47.62 ± 7.28,"46.40 [44.35, 50.70]",-0.287,"[-1.860, 1.285]",Wilcoxon,1835.000,0.8785,1,No
3-point %,87,29.85 ± 18.16,"34.40 [24.05, 38.80]",29.65 ± 13.37,"34.50 [28.00, 38.30]",-0.202,"[-3.476, 3.071]",Wilcoxon,1447.500,0.5173,1,No
2-point %,87,51.62 ± 6.78,"52.00 [47.75, 55.30]",52.70 ± 9.19,"51.70 [48.25, 56.75]",1.079,"[-0.762, 2.921]",Wilcoxon,1587.500,0.223,1,No
Effective field-goal %,87,52.30 ± 6.83,"52.40 [48.80, 55.45]",52.66 ± 6.73,"52.80 [49.30, 55.10]",0.359,"[-1.010, 1.727]",Wilcoxon,1614.000,0.2042,1,No
Free-throw %,87,73.21 ± 15.01,"77.10 [66.50, 82.80]",73.82 ± 16.27,"75.50 [69.90, 82.95]",0.610,"[-2.805, 4.026]",Wilcoxon,1775.500,0.5577,1,No
Total rebounds per game,87,5.33 ± 2.62,"5.00 [3.65, 6.50]",5.30 ± 3.09,"4.70 [3.10, 6.85]",-0.036,"[-0.445, 0.374]",Wilcoxon,1534.500,0.1991,1,No
Assists per game,87,2.77 ± 2.39,"1.80 [1.00, 4.05]",2.87 ± 2.37,"2.20 [1.10, 4.25]",0.097,"[-0.186, 0.380]",Wilcoxon,1612.000,0.4403,1,No
Steals per game,87,0.82 ± 0.41,"0.80 [0.50, 1.10]",0.86 ± 0.48,"0.80 [0.50, 1.20]",0.046,"[-0.038, 0.130]",Wilcoxon,1282.500,0.3493,1,No
Blocks per game,87,0.56 ± 0.49,"0.40 [0.25, 0.65]",0.55 ± 0.56,"0.40 [0.20, 0.60]",-0.014,"[-0.095, 0.067]",Wilcoxon,967.500,0.3776,1,No
Turnovers per game,87,1.62 ± 0.86,"1.50 [0.90, 2.30]",1.59 ± 0.90,"1.40 [0.95, 2.10]",-0.024,"[-0.175, 0.127]",Wilcoxon,1679.000,0.7713,1,No
Personal fouls per game,87,2.19 ± 0.85,"2.20 [1.70, 2.50]",2.07 ± 0.69,"2.10 [1.65, 2.50]",-0.123,"[-0.283, 0.037]",Wilcoxon,1444.000,0.09264,1,No
Points per game,87,12.54 ± 6.82,"11.60 [8.00, 17.55]",12.53 ± 7.16,"10.50 [7.10, 17.35]",-0.008,"[-1.022, 1.006]",t-paired,-0.016,0.9875,1,No
Player Efficiency Rating,87,15.57 ± 4.66,"15.30 [12.55, 17.70]",16.69 ± 5.30,"15.70 [13.00, 20.00]",1.118,"[0.365, 1.871]",t-paired,2.952,0.004068,0.07057,No
True shooting %,87,55.51 ± 5.52,"56.10 [52.85, 58.85]",57.34 ± 5.44,"57.40 [54.75, 60.60]",1.837,"[0.567, 3.107]",Wilcoxon,931.000,8.549e-05,0.001624,Yes
Assist-to-turnover ratio,87,1.51 ± 0.81,"1.43 [0.92, 1.89]",1.66 ± 0.86,"1.45 [1.10, 2.01]",0.149,"[0.049, 0.248]",Wilcoxon,1183.500,0.007304,0.1169,No
Game score,87,10.88 ± 5.08,"10.50 [7.90, 14.65]",12.12 ± 5.71,"11.50 [8.35, 15.43]",1.236,"[0.407, 2.065]",t-paired,2.965,0.003921,0.07057,No

