Metric,n,Pre_mean,Pre_SD,Pre_mean_sd,Post_mean,Post_SD,Post_mean_sd,Mean_Delta,CI95_lo,CI95_hi,CI95,Test,Stat,p,p_Holm,Sig
G,87,59.14359,15.089229,59.144 ± 15.089,46.37885,13.819693,46.379 ± 13.820,-12.76474,-16.212311,-9.317168,"[-16.212, -9.317]",paired_t,7.360388,0.0,0.0,***
GS,87,37.533686,23.776784,37.534 ± 23.777,27.734683,18.331454,27.735 ± 18.331,-9.799003,-14.292894,-5.305112,"[-14.293, -5.305]",paired_t,4.334723,3.9e-05,0.000671,***
MP,87,25.549323,7.709765,25.549 ± 7.710,24.190805,7.058471,24.191 ± 7.058,-1.358519,-2.902393,0.185356,"[-2.902, 0.185]",paired_t,1.749265,0.083813,0.838127,
FG%,87,0.47445,0.055958,0.474 ± 0.056,0.477253,0.061232,0.477 ± 0.061,0.002803,-0.007659,0.013266,"[-0.008, 0.013]",wilcoxon,1731.0,0.809676,1.0,
3P%,87,0.281169,0.129497,0.281 ± 0.129,0.323046,0.094457,0.323 ± 0.094,0.041877,0.019831,0.063924,"[0.020, 0.064]",wilcoxon,1033.5,0.002013,0.028185,*
2P%,87,0.509234,0.058389,0.509 ± 0.058,0.524793,0.060702,0.525 ± 0.061,0.015559,0.004021,0.027096,"[0.004, 0.027]",wilcoxon,1283.5,0.007617,0.099015,
eFG%,87,0.511741,0.051507,0.512 ± 0.052,0.531034,0.046871,0.531 ± 0.047,0.019294,0.009172,0.029416,"[0.009, 0.029]",wilcoxon,927.0,4.8e-05,0.000776,***
FT%,87,0.742402,0.106281,0.742 ± 0.106,0.753195,0.108307,0.753 ± 0.108,0.010793,-0.010035,0.031621,"[-0.010, 0.032]",wilcoxon,1565.5,0.140199,1.0,
TRB,87,5.066194,2.392632,5.066 ± 2.393,4.875862,2.412852,4.876 ± 2.413,-0.190332,-0.555919,0.175255,"[-0.556, 0.175]",wilcoxon,1533.5,0.197623,1.0,
AST,87,2.674751,2.397395,2.675 ± 2.397,2.757471,1.984863,2.757 ± 1.985,0.08272,-0.217728,0.383169,"[-0.218, 0.383]",wilcoxon,1538.0,0.351942,1.0,
STL,87,0.858123,0.465216,0.858 ± 0.465,0.806897,0.375343,0.807 ± 0.375,-0.051226,-0.13147,0.029018,"[-0.131, 0.029]",wilcoxon,1241.5,0.24995,1.0,
BLK,87,0.542861,0.446275,0.543 ± 0.446,0.481609,0.407639,0.482 ± 0.408,-0.061252,-0.115797,-0.006706,"[-0.116, -0.007]",wilcoxon,754.5,0.016168,0.177843,
TOV,87,1.578582,0.831586,1.579 ± 0.832,1.5,0.766296,1.500 ± 0.766,-0.078582,-0.220939,0.063774,"[-0.221, 0.064]",wilcoxon,1552.0,0.17011,1.0,
PF,87,2.149093,0.558341,2.149 ± 0.558,1.997701,0.576069,1.998 ± 0.576,-0.151392,-0.267413,-0.035371,"[-0.267, -0.035]",paired_t,2.593996,0.01115,0.133802,
PTS,87,11.899923,5.84516,11.900 ± 5.845,11.618391,6.532593,11.618 ± 6.533,-0.281533,-1.413783,0.850718,"[-1.414, 0.851]",paired_t,0.494297,0.622357,1.0,
PER,87,16.358621,4.639054,16.359 ± 4.639,15.804598,4.220931,15.805 ± 4.221,-0.554023,-1.391227,0.283181,"[-1.391, 0.283]",paired_t,1.315523,0.191831,1.0,
TS%,87,0.551172,0.049391,0.551 ± 0.049,0.565851,0.049099,0.566 ± 0.049,0.014678,0.003296,0.02606,"[0.003, 0.026]",wilcoxon,1108.0,0.001025,0.015377,*
A:TO,87,1.543953,0.792697,1.544 ± 0.793,1.757225,0.749487,1.757 ± 0.749,0.213272,0.123168,0.303376,"[0.123, 0.303]",paired_t,-4.705344,1e-05,0.000173,***
Game Score,87,9.602387,4.60294,9.602 ± 4.603,9.471609,4.965141,9.472 ± 4.965,-0.130778,-1.040842,0.779287,"[-1.041, 0.779]",paired_t,0.285669,0.775818,1.0,

