endpoint,variable,n_dominant,n_non_dominant,dominant_median_IQR,dominant_mean_SD,non_dom_median_IQR,non_dom_mean_SD,median_diff_dom_minus_non,ci95_median_diff,test,raw_p,holm_adj_p,sig_after_holm,exploratory
Delta 3P%,delta_3p_pct,45,42,"0.000 [-0.025, 0.068]",-0.002 ± 0.183,"0.000 [-0.033, 0.049]",-0.002 ± 0.116,0.0000,"[-0.0220, 0.0190]",Mann-Whitney U,0.7661,1.0000,No,False
Delta FT%,delta_ft_pct,45,42,"-0.003 [-0.036, 0.062]",0.024 ± 0.149,"0.007 [-0.027, 0.050]",-0.013 ± 0.171,-0.0095,"[-0.0295, 0.0275]",Mann-Whitney U,0.8952,1.0000,No,False
Delta eFG%,delta_efg_pct,45,42,"0.007 [-0.022, 0.031]",0.002 ± 0.073,"0.013 [-0.026, 0.035]",0.005 ± 0.054,-0.0060,"[-0.0240, 0.0150]",Mann-Whitney U,0.7023,1.0000,No,False
Delta TS%,delta_tsp,45,42,"0.014 [-0.012, 0.041]",0.013 ± 0.071,"0.019 [0.001, 0.049]",0.024 ± 0.045,-0.0050,"[-0.0340, 0.0100]",Mann-Whitney U,0.3244,1.0000,No,False
Delta FG%,delta_fg_pct,45,42,"-0.003 [-0.030, 0.029]",-0.006 ± 0.091,"0.008 [-0.023, 0.023]",0.000 ± 0.049,-0.0110,"[-0.0230, 0.0120]",Mann-Whitney U,0.6928,1.0000,No,False
Delta 3PA,delta_3pa,45,42,"0.100 [-0.300, 1.100]",0.160 ± 1.179,"0.100 [-1.050, 0.600]",0.036 ± 1.601,0.0000,"[-0.3000, 0.5012]",Mann-Whitney U,0.7116,NA,Not adjusted (secondary),False
Delta FGA,delta_fga,45,42,"-0.400 [-2.000, 1.300]",-0.090 ± 3.099,"-0.250 [-2.475, 2.300]",-0.181 ± 4.251,-0.1500,"[-1.7500, 2.1000]",Mann-Whitney U,0.8885,NA,Not adjusted (secondary),False
Delta FTA,delta_fta,45,42,"0.200 [-0.500, 0.600]",0.126 ± 1.016,"-0.250 [-0.950, 0.775]",0.017 ± 1.622,0.4500,"[-0.3000, 0.8000]",Mann-Whitney U,0.4994,NA,Not adjusted (secondary),False
Delta ATO,delta_ato,45,42,"0.110 [-0.140, 0.440]",0.170 ± 0.515,"0.110 [-0.158, 0.323]",0.126 ± 0.410,0.0000,"[-0.1600, 0.2400]",Mann-Whitney U,0.7054,NA,Not adjusted (secondary),False
Delta G,delta_g,45,42,"0.000 [-16.000, 22.000]",1.733 ± 28.129,"-1.500 [-21.250, 9.250]",-6.643 ± 27.028,1.5000,"[-7.0000, 14.0000]",Mann-Whitney U,0.3181,NA,Not adjusted (secondary),False
Delta MP,delta_mp,45,42,"-0.100 [-3.300, 3.400]",0.002 ± 7.692,"-1.500 [-5.525, 4.050]",-1.695 ± 8.675,1.4000,"[-3.0500, 4.4500]",Mann-Whitney U,0.4755,NA,Not adjusted (secondary),False

