Metric,Arm,n_paired,Pre_median_IQR,Post_median_IQR,wilcoxon_p
3P%,dominant,45,"0.344 [0.237, 0.398]","0.345 [0.289, 0.376]",0.5685
FT%,dominant,45,"0.772 [0.645, 0.827]","0.752 [0.690, 0.821]",0.6639
eFG%,dominant,45,"0.525 [0.486, 0.551]","0.524 [0.487, 0.543]",0.4735
TS%,dominant,45,"0.565 [0.541, 0.589]","0.569 [0.548, 0.591]",0.0327
FG%,dominant,45,"0.468 [0.437, 0.504]","0.457 [0.440, 0.507]",0.8519
3P%,non_dominant,42,"0.344 [0.275, 0.371]","0.347 [0.246, 0.392]",0.7552
FT%,non_dominant,42,"0.768 [0.688, 0.829]","0.766 [0.709, 0.855]",0.7029
eFG%,non_dominant,42,"0.523 [0.490, 0.567]","0.536 [0.499, 0.555]",0.3082
TS%,non_dominant,42,"0.557 [0.528, 0.587]","0.582 [0.547, 0.615]",0.0006
FG%,non_dominant,42,"0.469 [0.440, 0.518]","0.475 [0.448, 0.506]",0.6707

