term,estimate,CI_low,CI_high,p
Intercept,-6.4581,-34.622,21.7057,0.6531
Position_class: big,-5.5224,-8.8414,-2.2034,0.0011
Position_class: wing,-2.3275,-7.6871,3.0322,0.3947
dominance: dominant (w/ frac-cat adj),2.1764,-1.1418,5.4945,0.1986
fracture_category: other,4.5737,-5.2291,14.3765,0.3605
fracture_category: phalangeal,-0.746,-6.8443,5.3523,0.8105
fracture_category: thumb,-1.077,-5.7563,3.6023,0.6519
fracture_category: unspecified,-1.8569,-7.2472,3.5334,0.4996
fracture_category: wrist_unspecified,3.6724,-2.6721,10.017,0.2566
Age_at_Injury,-0.1541,-1.3009,0.9928,0.7923
BMI,0.5909,-0.0624,1.2442,0.0763
Years_Experience,-0.5568,-1.7184,0.6048,0.3475
Surgery_bool,-0.3675,-4.0142,3.2791,0.8434
dominance: dominant (unadjusted for frac-cat),1.8966,-1.1257,4.919,0.2187

